Id,Neighborhood,OverallQual,OverallCond,YearBuilt,House age,Vintage in Portafolio,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,MiscVal,MoSold,SaleType,Market Price,Stat,LotArea
34,NAmes,5,5,2009,11,1,1,1,4,1,Gd,6,Typ,RFn,2,447,TA,TA,Y,0,38,0,0,0,0,4,WD,165500,In portafolio,10552
35,NridgHt,9,5,1999,21,3,2,0,2,1,Ex,6,Typ,Fin,2,556,TA,TA,Y,203,47,0,0,0,0,8,WD,277500,In portafolio,7313
36,NridgHt,8,5,1980,40,4,3,1,4,1,Gd,9,Typ,Fin,3,691,TA,TA,Y,113,32,0,0,0,0,9,WD,309000,In portafolio,13418
37,CollgCr,5,5,2015,5,3,1,1,3,1,TA,6,Typ,Unf,2,672,TA,TA,Y,392,64,0,0,0,0,6,WD,145000,Sold,10859
38,NAmes,5,6,2009,11,5,1,0,3,1,TA,5,Typ,Fin,2,498,TA,TA,Y,0,0,0,0,0,0,10,WD,153000,Sold,8532
39,NAmes,5,7,1983,37,1,1,0,3,1,Gd,5,Typ,Unf,1,246,TA,TA,Y,0,52,0,0,0,0,1,WD,109000,Sold,7922
40,Edwards,4,5,2019,1,2,2,0,2,2,Fa,6,Typ,NA,0,0,NA,NA,N,0,0,0,0,0,0,6,WD,82000,Sold,6040
41,NAmes,6,5,2018,2,3,2,0,3,1,TA,6,Typ,RFn,2,440,TA,TA,Y,0,138,0,0,0,0,12,WD,160000,Sold,8658
42,Timber,5,6,2004,16,4,1,1,2,1,TA,5,Typ,RFn,1,308,TA,TA,P,0,104,0,0,0,0,7,WD,170000,In portafolio,16905
43,SawyerW,5,7,2007,13,5,1,0,2,1,Gd,5,Typ,RFn,2,504,TA,Gd,Y,240,0,0,0,0,0,12,WD,144000,In portafolio,9180
44,CollgCr,5,6,1998,22,3,1,0,3,1,TA,5,Typ,Unf,1,308,TA,TA,Y,145,0,0,0,0,0,7,WD,130250,In portafolio,9200
45,NAmes,5,6,1994,26,1,1,0,3,1,TA,6,Typ,RFn,1,300,TA,TA,Y,0,0,0,0,0,0,5,WD,141000,Sold,7945
46,NridgHt,9,5,2011,9,2,2,0,2,1,Ex,6,Typ,RFn,2,576,TA,TA,Y,196,82,0,0,0,0,2,WD,319900,In portafolio,7658
47,Mitchel,7,5,1992,28,4,1,1,1,1,Gd,6,Typ,RFn,2,670,TA,TA,Y,168,43,0,0,198,0,8,WD,239686,In portafolio,12822
48,Somerst,8,5,1995,25,1,2,0,3,1,Gd,7,Typ,RFn,3,826,TA,TA,Y,0,146,0,0,0,0,7,WD,249700,Sold,11096
49,OldTown,4,5,2005,15,5,2,0,2,3,TA,8,Typ,NA,0,0,NA,NA,N,0,0,102,0,0,0,6,New,113000,In portafolio,4456
50,Sawyer,5,7,1989,31,4,1,0,3,1,TA,6,Typ,Unf,1,386,TA,TA,Y,0,0,0,0,0,0,1,WD,127000,In portafolio,7742
51,Gilbert,6,6,2020,0,3,2,0,3,1,TA,6,Typ,Fin,2,388,TA,TA,Y,0,75,0,0,0,0,7,WD,177000,In portafolio,13869
52,BrkSide,6,6,2000,20,4,1,0,3,1,TA,6,Typ,Unf,2,528,TA,TA,Y,112,0,0,0,0,400,9,WD,114500,In portafolio,6240
53,IDOTRR,5,5,2015,5,4,1,0,2,1,TA,5,Typ,Unf,2,516,TA,TA,Y,106,0,0,0,0,0,5,WD,110000,In portafolio,8472
54,Veenker,9,5,2017,3,2,0,1,0,1,Gd,5,Typ,Fin,3,894,TA,TA,Y,857,72,0,0,0,0,11,WD,385000,Sold,50271
55,NAmes,5,5,1982,38,2,1,0,3,1,TA,6,Min1,Unf,2,572,TA,TA,Y,0,50,0,0,0,0,2,WD,130000,Sold,7134
56,NAmes,6,5,1996,24,2,2,0,3,1,TA,7,Typ,RFn,2,576,TA,TA,Y,0,0,0,407,0,0,7,WD,180500,Sold,10175
57,Somerst,8,5,2001,19,4,2,1,3,1,Gd,7,Typ,Fin,2,480,TA,TA,Y,115,0,0,0,0,0,8,WD,172500,In portafolio,2645
58,CollgCr,7,5,1999,21,3,2,1,3,1,Gd,7,Typ,RFn,2,565,TA,TA,Y,0,70,0,0,0,0,8,WD,196500,Sold,11645
59,StoneBr,10,5,2006,14,1,3,1,3,1,Gd,10,Typ,Fin,3,641,TA,TA,Y,192,0,37,0,0,0,10,New,438780,In portafolio,13682
60,CollgCr,5,7,2015,5,4,1,0,2,1,TA,4,Typ,Unf,1,352,TA,TA,Y,196,0,0,0,0,0,1,WD,124900,In portafolio,7200
61,SawyerW,6,5,1994,26,5,1,1,3,1,Gd,5,Typ,Unf,2,576,TA,TA,Y,0,50,0,0,0,0,5,New,158000,In portafolio,13072
62,IDOTRR,5,7,1995,25,1,1,0,3,1,Fa,6,Typ,Unf,1,288,TA,TA,N,0,0,144,0,0,0,3,WD,101000,In portafolio,7200
63,NridgHt,8,5,1997,23,2,2,0,2,1,Gd,6,Typ,RFn,2,484,TA,TA,Y,120,49,0,0,0,0,10,WD,202500,In portafolio,6442
64,OldTown,7,6,1992,28,5,2,0,3,1,TA,9,Typ,Unf,2,480,TA,TA,Y,12,11,64,0,0,0,4,WD,140000,In portafolio,10300
65,CollgCr,7,5,1997,23,4,2,1,3,1,Gd,8,Typ,RFn,2,645,TA,TA,Y,576,36,0,0,0,0,2,WD,219500,In portafolio,9375
66,NridgHt,8,5,2010,10,1,2,1,4,1,Gd,9,Typ,RFn,3,852,TA,TA,Y,192,151,0,0,0,0,10,WD,317000,Sold,9591
67,NAmes,7,5,2002,18,3,2,0,3,1,TA,7,Min1,RFn,2,576,TA,TA,Y,301,0,0,0,0,0,7,WD,180000,Sold,19900
68,CollgCr,7,5,2010,10,4,2,0,3,1,Gd,7,Typ,RFn,2,558,TA,TA,Y,144,29,0,0,0,0,6,WD,226000,Sold,10665
69,OldTown,4,6,1993,27,3,1,0,2,1,TA,4,Typ,Unf,1,220,TA,TA,Y,0,0,0,0,0,0,6,WD,80000,In portafolio,4608
70,ClearCr,7,4,1981,39,2,2,0,3,1,TA,7,Typ,Fin,2,667,TA,TA,Y,0,21,114,0,0,0,7,WD,225000,In portafolio,15593
71,NAmes,7,6,1987,33,3,2,0,3,1,TA,8,Typ,Fin,2,516,TA,TA,Y,300,0,0,0,0,0,2,WD,244000,In portafolio,13651
72,Mitchel,4,6,1989,31,5,1,0,2,1,TA,4,Typ,Unf,2,360,TA,TA,Y,0,0,0,0,0,0,6,WD,129500,Sold,7599
73,Gilbert,7,5,1982,38,5,2,1,3,1,TA,7,Typ,Fin,2,427,TA,TA,Y,0,94,0,0,291,0,12,WD,185000,Sold,10141
74,NAmes,5,7,1988,32,4,1,0,3,1,TA,6,Typ,Unf,2,490,TA,TA,Y,0,0,0,0,0,0,5,WD,144900,Sold,10200
75,OldTown,3,6,2006,14,3,2,0,3,2,TA,8,Typ,Unf,1,379,TA,TA,Y,0,0,202,0,0,0,5,WD,107400,In portafolio,5790
76,MeadowV,4,5,2015,5,3,1,0,2,1,TA,5,Typ,Unf,1,297,TA,TA,Y,120,101,0,0,0,0,11,WD,91000,Sold,1596
77,NAmes,4,7,2010,10,1,1,0,2,1,TA,4,Typ,Unf,1,283,TA,TA,Y,0,0,0,0,0,0,4,WD,135750,Sold,8475
78,BrkSide,5,5,1988,32,2,1,0,2,1,TA,6,Min1,Unf,1,240,TA,TA,Y,0,0,0,0,0,0,1,WD,127000,Sold,8635
79,Sawyer,4,5,2001,19,5,2,0,4,2,TA,8,Typ,NA,0,0,NA,NA,Y,0,0,0,0,0,0,4,WD,136500,Sold,10778
80,OldTown,5,6,2014,6,5,1,1,2,1,TA,5,Typ,Unf,2,440,TA,TA,Y,74,0,128,0,0,0,5,WD,110000,In portafolio,10440
81,NAmes,6,6,1999,21,4,2,1,4,1,Gd,8,Typ,Fin,1,509,TA,TA,Y,0,72,0,0,252,0,6,WD,193500,In portafolio,13000
82,Mitchel,6,5,2010,10,3,2,0,2,1,TA,5,Typ,Fin,2,405,TA,TA,Y,0,199,0,0,0,0,3,WD,153500,Sold,4500
83,Somerst,8,5,1990,30,2,2,0,3,1,Gd,6,Typ,RFn,3,758,TA,TA,Y,144,99,0,0,0,0,10,WD,245000,In portafolio,10206
84,NAmes,5,5,1989,31,2,1,1,3,1,TA,6,Typ,Unf,2,461,TA,TA,Y,74,0,0,0,0,0,7,COD,126500,In portafolio,8892
85,Gilbert,7,5,1991,29,3,2,1,3,1,TA,7,Typ,Fin,2,400,TA,TA,Y,120,72,0,0,0,700,5,WD,168500,Sold,8530
86,NoRidge,8,5,1985,35,5,2,1,4,1,Gd,9,Typ,Unf,2,462,TA,TA,Y,127,82,0,0,0,0,4,WD,260000,In portafolio,16059
87,Gilbert,6,5,1982,38,1,2,1,3,1,Gd,6,Typ,Fin,2,400,TA,TA,Y,100,38,0,0,0,0,3,WD,174000,Sold,11911
88,Somerst,6,5,1989,31,3,2,1,2,1,Gd,4,Typ,RFn,2,528,TA,TA,Y,0,234,0,0,0,0,6,New,164500,Sold,3951
89,IDOTRR,3,2,1992,28,5,1,0,2,1,Fa,6,Typ,NA,0,0,NA,NA,N,0,0,156,0,0,0,10,ConLD,85000,Sold,8470
90,CollgCr,4,5,2001,19,5,1,0,3,1,TA,5,Typ,NA,0,0,NA,NA,Y,0,0,0,0,0,0,8,WD,123600,In portafolio,8070
91,NAmes,4,5,1998,22,3,1,0,2,1,TA,4,Typ,Unf,2,420,TA,TA,Y,0,29,0,0,0,0,7,WD,109900,Sold,7200
92,NAmes,5,3,1993,27,5,1,0,2,1,TA,6,Typ,Unf,2,480,TA,TA,Y,0,0,0,0,0,0,12,WD,98600,Sold,8500
93,Crawfor,5,7,1992,28,3,1,0,2,1,TA,5,Typ,Unf,2,432,TA,TA,Y,0,0,44,0,0,0,8,WD,163500,Sold,13360
94,OldTown,6,6,1990,30,4,2,0,4,2,TA,9,Typ,Unf,2,506,TA,TA,Y,0,0,0,0,99,0,11,WD,133900,In portafolio,7200
95,CollgCr,6,5,1980,40,3,2,1,3,1,Gd,7,Typ,RFn,2,684,TA,TA,Y,0,162,0,0,0,0,5,WD,204750,In portafolio,9337
96,Gilbert,6,8,1980,40,5,2,1,3,1,TA,6,Typ,Fin,2,420,TA,TA,Y,232,63,0,0,0,480,4,WD,185000,Sold,9765
97,CollgCr,7,5,2000,20,2,2,0,3,1,Gd,6,Typ,RFn,2,472,TA,TA,Y,158,29,0,0,0,0,8,WD,214000,Sold,10264
98,Edwards,4,5,2012,8,4,1,0,3,1,TA,6,Typ,Fin,1,432,TA,TA,P,120,0,0,0,0,0,5,WD,94750,Sold,10921
99,Edwards,5,5,1990,30,1,1,0,2,1,TA,5,Typ,Unf,1,366,Fa,TA,Y,0,0,77,0,0,400,5,COD,83000,Sold,10625
100,NAmes,4,5,2000,20,3,1,1,3,1,TA,6,Typ,NA,0,0,NA,NA,Y,352,0,0,0,0,400,1,WD,128950,Sold,9320
101,NWAmes,6,7,1984,36,5,2,0,3,1,Gd,6,Typ,RFn,2,480,TA,TA,Y,168,68,0,0,0,0,2,WD,205000,In portafolio,10603
102,SawyerW,6,5,2014,6,5,2,1,3,1,Gd,7,Typ,Fin,2,476,TA,TA,Y,192,46,0,0,0,0,6,WD,178000,In portafolio,9206
103,SawyerW,5,5,1991,29,1,2,0,4,2,TA,8,Typ,Unf,2,410,TA,TA,Y,0,0,0,0,0,0,6,WD,118964,Sold,7018
104,CollgCr,7,5,2017,3,2,2,0,3,1,Gd,6,Typ,RFn,3,740,TA,TA,Y,0,36,0,0,0,0,5,WD,198900,Sold,10402
105,IDOTRR,7,4,2019,1,4,1,1,4,1,TA,7,Typ,Unf,1,240,TA,TA,Y,0,0,0,0,184,0,6,WD,169500,In portafolio,7758
106,Somerst,8,5,2001,19,5,2,1,3,1,Gd,9,Typ,RFn,2,648,TA,TA,Y,140,45,0,0,0,0,8,WD,250000,In portafolio,9375
107,OldTown,4,7,2005,15,2,1,0,2,1,TA,6,Typ,Unf,1,273,Fa,Fa,N,0,0,0,0,0,450,8,WD,100000,Sold,10800
108,OldTown,5,5,1980,40,3,1,0,2,1,TA,5,Typ,Unf,1,250,TA,TA,Y,0,0,0,0,0,0,4,WD,115000,In portafolio,6000
109,IDOTRR,5,7,1982,38,1,2,0,3,1,Fa,7,Typ,NA,0,0,NA,NA,N,0,0,144,0,0,0,8,WD,115000,In portafolio,8500
110,NWAmes,6,6,2018,2,3,2,0,3,1,TA,7,Typ,RFn,2,546,TA,TA,Y,0,122,0,0,0,0,1,COD,190000,Sold,11751
111,Edwards,6,4,2013,7,1,2,0,4,1,TA,7,Typ,Unf,1,325,TA,TA,Y,182,0,0,0,0,0,10,WD,136900,Sold,9525
112,Gilbert,7,5,2019,1,3,2,1,3,1,TA,7,Typ,Fin,2,400,TA,TA,Y,180,0,0,0,0,0,4,WD,180000,Sold,7750
113,CollgCr,7,5,2002,18,1,2,1,4,1,Ex,10,Typ,Fin,3,792,TA,TA,Y,120,184,0,0,168,0,10,New,383970,Sold,9965
114,Crawfor,6,5,1993,27,5,2,0,3,1,Gd,7,Typ,Unf,2,450,TA,TA,Y,166,120,192,0,0,0,10,COD,217000,In portafolio,21000
115,Crawfor,6,8,1991,29,1,2,1,3,1,Gd,9,Typ,Unf,1,180,TA,TA,Y,224,0,0,0,0,0,7,WD,259500,Sold,7259
116,Somerst,6,5,1987,33,1,2,1,2,1,TA,5,Typ,Unf,2,440,TA,TA,Y,0,32,0,0,0,0,6,WD,176000,Sold,3230
117,Sawyer,5,5,2007,13,1,1,0,3,1,TA,6,Typ,Unf,1,288,TA,TA,Y,0,20,144,0,0,0,9,WD,139000,In portafolio,11616
118,Edwards,5,5,1987,33,5,1,1,2,1,TA,5,Typ,Unf,2,430,TA,TA,Y,80,64,0,0,0,0,4,New,155000,In portafolio,8536
119,SawyerW,7,5,2011,9,2,3,0,5,1,Gd,11,Typ,Unf,3,594,TA,TA,Y,367,0,0,0,0,0,5,WD,320000,In portafolio,12376
120,CollgCr,6,5,2012,8,1,2,1,3,1,Gd,8,Typ,Fin,2,390,TA,TA,Y,0,24,0,0,0,0,7,New,163990,Sold,8461
121,ClearCr,6,5,2019,1,4,1,0,1,1,TA,4,Typ,Unf,2,540,TA,TA,Y,0,130,0,130,0,0,10,WD,180000,Sold,21453
122,IDOTRR,4,5,1985,35,4,1,0,3,1,TA,4,Typ,Unf,1,264,TA,TA,P,0,0,140,0,0,0,6,WD,100000,In portafolio,6060
123,NAmes,6,7,2015,5,4,1,0,3,1,TA,5,Typ,Unf,1,288,TA,TA,Y,0,0,0,0,130,0,6,WD,136000,In portafolio,9464
124,SawyerW,6,5,1994,26,2,2,0,2,1,Gd,5,Typ,RFn,2,530,TA,TA,Y,0,63,0,0,0,0,3,WD,153900,In portafolio,7892
125,NWAmes,6,5,1981,39,4,2,0,3,1,TA,7,Typ,Unf,2,435,TA,TA,Y,192,0,0,0,0,0,1,WD,181000,In portafolio,17043
126,IDOTRR,6,8,2008,12,4,1,0,2,1,TA,5,Typ,NA,0,0,NA,NA,N,53,0,0,0,0,0,6,WD,84500,In portafolio,6780
127,NPkVill,6,5,1993,27,1,2,0,2,1,TA,5,Typ,RFn,2,440,TA,TA,Y,0,205,0,0,0,0,2,WD,128000,In portafolio,4928
128,OldTown,5,7,1999,21,2,1,0,3,1,TA,5,Typ,NA,0,0,NA,NA,N,0,0,0,0,0,0,6,WD,87000,Sold,4388
129,NAmes,6,5,2004,16,5,1,1,3,1,TA,6,Typ,RFn,2,453,TA,TA,Y,188,108,0,0,0,0,7,WD,155000,Sold,7590
130,NAmes,5,7,2009,11,2,1,1,3,1,Ex,6,Typ,RFn,2,750,TA,TA,Y,0,80,0,180,0,0,7,WD,150000,Sold,8973
131,NAmes,7,6,2007,13,3,2,1,4,1,Gd,8,Typ,Fin,2,487,TA,TA,Y,105,66,0,0,0,0,5,WD,226000,Sold,14200
132,Gilbert,6,5,1996,24,4,2,1,3,1,Gd,7,Typ,RFn,2,390,TA,TA,Y,24,48,0,0,0,0,7,WD,244000,Sold,12224
133,NAmes,5,6,2001,19,4,1,0,3,1,Gd,7,Typ,Unf,2,624,TA,TA,Y,0,0,0,0,0,0,7,WD,150750,In portafolio,7388
134,Timber,8,5,2002,18,1,2,0,2,1,Gd,6,Typ,Fin,2,471,TA,TA,Y,192,25,0,0,0,0,6,WD,220000,Sold,6853
135,Sawyer,5,6,1995,25,1,2,1,3,1,TA,7,Min1,RFn,2,440,TA,TA,Y,0,96,180,0,0,0,7,WD,180000,In portafolio,10335
136,NWAmes,7,6,1986,34,4,2,0,3,1,TA,7,Typ,Unf,2,530,TA,TA,Y,98,0,0,0,0,0,5,WD,174000,In portafolio,10400
137,NAmes,5,5,2002,18,5,2,0,3,1,TA,5,Typ,RFn,1,318,TA,TA,Y,0,111,0,0,0,0,7,WD,143000,Sold,10355
138,Mitchel,7,5,2010,10,3,3,0,5,2,TA,9,Typ,Unf,3,766,TA,TA,Y,0,0,0,0,0,0,7,WD,171000,Sold,11070
139,CollgCr,8,5,2003,17,4,2,1,3,1,Gd,7,Typ,Fin,3,660,TA,TA,Y,224,106,0,0,0,0,12,WD,230000,In portafolio,9066
140,CollgCr,6,5,2006,14,5,2,1,3,1,Gd,7,Typ,RFn,2,470,TA,TA,Y,276,99,0,0,0,0,8,WD,231500,Sold,15426
141,NAmes,4,5,2004,16,3,1,0,3,1,TA,5,Typ,NA,0,0,NA,NA,Y,0,0,0,0,0,0,4,ConLI,115000,In portafolio,10500
142,CollgCr,7,5,2010,10,1,2,0,3,1,Gd,7,Typ,Fin,2,660,TA,TA,Y,160,24,0,0,0,0,1,WD,260000,In portafolio,11645
143,NAmes,5,4,2007,13,3,2,0,4,1,TA,6,Typ,Unf,2,720,TA,TA,Y,0,0,0,0,0,0,6,WD,166000,In portafolio,8520
144,CollgCr,7,5,2001,19,1,2,0,3,1,Gd,6,Typ,RFn,2,577,TA,TA,Y,144,29,0,0,0,0,6,WD,204000,In portafolio,10335
145,Sawyer,5,5,1981,39,4,2,0,6,2,TA,10,Typ,Unf,2,504,TA,TA,Y,0,0,0,0,0,0,11,ConLI,125000,Sold,9100
146,Edwards,6,5,2001,19,2,2,0,3,1,Gd,7,Maj1,Unf,2,380,TA,TA,Y,0,40,0,0,0,0,4,WD,130000,Sold,2522
147,BrkSide,5,7,2018,2,1,1,0,2,1,TA,5,Typ,Unf,1,180,Fa,TA,Y,48,0,0,0,0,0,11,WD,105000,Sold,6120
148,Gilbert,7,5,2011,9,5,2,1,3,1,Gd,8,Typ,Fin,2,434,TA,TA,Y,144,48,0,0,0,0,5,WD,222500,In portafolio,9505
149,SawyerW,7,5,1988,32,5,1,0,3,1,Gd,6,Typ,NA,0,0,NA,NA,Y,0,0,0,0,0,0,4,WD,141000,Sold,7500
150,BrkSide,5,4,2000,20,3,1,0,3,1,TA,7,Typ,Unf,1,240,Fa,TA,Y,200,114,0,0,0,0,4,WD,115000,Sold,6240
151,CollgCr,5,6,1993,27,5,1,1,3,1,TA,5,Typ,Unf,2,440,TA,TA,Y,0,0,0,0,0,0,1,WD,122000,Sold,10356
152,NridgHt,8,5,1994,26,1,2,0,2,1,Gd,6,Typ,RFn,3,866,TA,TA,Y,0,102,0,0,0,0,1,New,372402,In portafolio,13891
153,NWAmes,6,5,1987,33,4,2,1,4,1,TA,8,Typ,RFn,2,495,TA,TA,Y,0,66,0,0,0,0,6,WD,190000,In portafolio,14803
154,ClearCr,6,7,2011,9,4,1,0,1,1,TA,4,Typ,RFn,2,564,TA,TA,Y,409,0,0,0,0,0,3,WD,235000,In portafolio,13500
155,OldTown,6,5,1995,25,3,1,0,4,1,TA,7,Typ,Unf,1,312,Fa,Fa,Y,0,0,228,0,0,0,3,WD,125000,In portafolio,11340
156,Edwards,6,5,1992,28,4,1,0,2,1,TA,5,Typ,NA,0,0,NA,NA,N,0,8,128,0,0,0,4,WD,79000,In portafolio,9600
157,NAmes,5,7,2018,2,5,1,0,2,1,TA,5,Typ,Unf,2,625,TA,TA,Y,0,0,0,0,0,0,6,WD,109500,Sold,7200
158,Timber,8,5,1984,36,3,2,1,4,1,Ex,8,Typ,Fin,3,680,TA,TA,Y,0,75,0,0,0,0,5,New,269500,In portafolio,12003
159,Somerst,7,5,1988,32,2,2,1,3,1,Gd,8,Typ,RFn,2,678,TA,TA,Y,0,136,0,0,0,0,5,WD,254900,Sold,12552
160,Gilbert,7,5,2006,14,4,2,1,4,1,Gd,9,Typ,RFn,2,576,TA,TA,Y,239,132,0,168,0,0,3,New,320000,In portafolio,19378
161,Veenker,6,6,1983,37,2,2,0,3,1,TA,6,Typ,Unf,2,516,TA,TA,Y,0,0,0,0,0,0,6,WD,162500,In portafolio,11120
162,NridgHt,9,5,1980,40,2,2,1,3,1,Ex,10,Typ,Fin,3,726,TA,TA,Y,400,0,0,0,0,0,3,WD,412500,In portafolio,13688
163,NridgHt,7,5,1989,31,5,2,0,3,1,Gd,7,Typ,RFn,2,532,TA,TA,Y,0,70,0,0,0,0,5,New,220000,In portafolio,12182
164,OldTown,4,6,1990,30,2,1,0,1,1,TA,4,Typ,NA,0,0,NA,NA,Y,0,0,0,0,0,0,4,WD,103200,In portafolio,5500
165,OldTown,6,7,1987,33,1,2,0,3,1,Gd,5,Typ,Unf,1,216,TA,TA,Y,0,0,183,0,0,0,10,WD,152000,Sold,5400
166,Edwards,5,7,1996,24,3,2,0,4,2,TA,6,Typ,NA,0,0,NA,NA,Y,140,0,0,0,0,0,9,WD,127500,In portafolio,10106
167,ClearCr,5,5,1984,36,5,1,0,2,1,TA,7,Typ,Fin,1,303,TA,TA,Y,476,0,0,0,142,0,11,COD,190000,In portafolio,10708
